编号,名称,品种,区域,位置,种植日期,巡检周期(天),状态,备注
A001,香樟树,樟科常绿乔木,A区-东门,入口花坛左侧,2020-03-15,7,健康,
A002,桂花树,木犀科常绿灌木,A区-东门,办公楼南侧,2019-10-01,7,健康,
A003,广玉兰,木兰科,A区-东门,停车场入口,2021-05-20,7,健康,
A004,紫薇,千屈菜科,A区-东门,主干道行道树1,2018-06-10,7,健康,
A005,樱花树,蔷薇科,A区-东门,樱花大道东端,2020-02-28,7,健康,
B001,垂丝海棠,蔷薇科,B区-南门,办公楼前庭,2021-03-15,7,健康,
B002,红枫,槭树科,B区-南门,入口景观带,2019-11-01,7,健康,
B003,鸡爪槭,槭树科,B区-南门,景观水池旁,2020-04-10,7,健康,
B004,罗汉松,罗汉松科,B区-南门,大门两侧列植,2018-09-20,10,健康,
B005,茶花,山茶科,B区-南门,中庭花境,2021-01-15,7,健康,
C001,水杉,杉科,C区-中央花园,人工湖西岸,2017-12-01,14,健康,
C002,银杏,银杏科,C区-中央花园,银杏大道,2016-11-10,14,健康,秋季叶黄需清理
C003,朴树,榆科,C区-中央花园,中心草坪孤植,2015-03-20,14,健康,
C004,梅花,蔷薇科,C区-中央花园,梅花园,2019-01-25,7,健康,
C005,桃花,蔷薇科,C区-中央花园,桃林,2020-02-15,7,健康,
D001,小叶榄仁,使君子科,D区-后山,登山道入口,2022-06-01,14,健康,
D002,凤凰木,豆科,D区-后山,观景平台旁,2021-04-10,14,健康,喜光不耐寒
D003,蓝花楹,紫葳科,D区-后山,后山步道旁,2020-05-15,14,健康,
D004,苏铁,苏铁科,D区-后山,石阶两侧,2018-08-20,21,健康,
D005,丛生竹,禾本科,D区-后山,竹林区,2019-07-01,21,健康,
E001,月季花墙,蔷薇科,E区-围墙,北围墙段,2021-04-01,7,健康,
E002,爬山虎,葡萄科,E区-围墙,西围墙,2019-05-10,14,健康,
E003,凌霄花,紫葳科,E区-围墙,南围墙立柱,2020-06-15,14,健康,
E004,常春藤,五加科,E区-围墙,挡土墙绿化,2020-03-20,14,健康,
F001,金叶女贞球,木犀科,F区-绿篱,主入口模纹,2021-09-10,7,健康,需常修剪
F002,红花檵木,金缕梅科,F区-绿篱,广场边绿篱,2020-10-01,7,健康,
F003,海桐球,海桐花科,F区-绿篱,转角造型球,2019-08-15,7,健康,
F004,瓜子黄杨,黄杨科,F区-绿篱,树阵广场,2018-05-20,7,健康,
F005,金边黄杨,卫矛科,F区-绿篱,图案种植,2021-11-01,7,健康,
G001,睡莲,睡莲科,G区-水景,中心水池,2021-04-15,7,健康,冬季休眠
G002,荷花,莲科,G区-水景,荷花池,2020-04-01,7,健康,
G003,再力花,竹芋科,G区-水景,人工湿地,2022-03-20,7,健康,
G004,菖蒲,天南星科,G区-水景,水岸边缘,2021-05-10,7,健康,
G005,水生鸢尾,鸢尾科,G区-水景,溪流驳岸,2021-02-25,7,健康,
H001,马尼拉草坪,禾本科,H区-草坪,中心大草坪,2019-06-01,3,健康,夏季每周修剪
H002,天堂草,禾本科,H区-草坪,足球场,2020-07-15,3,健康,
H003,结缕草,禾本科,H区-草坪,停车场草坪砖,2021-08-20,7,健康,耐践踏
